subject,lambda_theta,Pi_kPa,Pi_mmHg
2,1.0,3.078656697450568,23.091833998031678
2,1.0009045226130653,3.1016016274868647,23.263935199160525
2,1.0018090452261306,3.1245747198455356,23.43624763516782
2,1.002713567839196,3.147577264407996,23.608780980963903
2,1.0036180904522614,3.17061056756869,23.781545035317066
2,1.0045226130653266,3.1936759529003957,23.954549725843766
2,1.005427135678392,3.2167747618344933,24.127805114111037
2,1.0063316582914572,3.2399083543568876,24.301321400856356
2,1.0072361809045227,3.2630781097201034,24.4751089313288
2,1.008140703517588,3.2862854271722095,24.649178200756417
2,1.0090452261306533,3.309531726703201,24.82353985994456
2,1.0099497487437186,3.332818449809451,24.998204721009763
2,1.0108542713567839,3.35614706027696,25.17318376325457
2,1.0117587939698491,3.379519044984063,25.348488139188362
2,1.0126633165829146,3.4029359147243263,25.524129180699575
2,1.01356783919598,3.4263992050503664,25.700118405384877
2,1.0144723618090452,3.4499104771393885,25.87646752304124
2,1.0153768844221105,3.4734713186811983,26.05318844232657
2,1.0162814070351758,3.4970833447895115,26.230293277595106
2,1.0171859296482413,3.5207481989374485,26.407794355914202
2,1.0180904522613066,3.5444675539180253,26.585704224268618
2,1.0189949748743719,3.5682431128306282,26.764035656959667
2,1.0198994974874371,3.592076610094322,26.942801663205675
2,1.0208040201005024,3.6159698124890207,27.1220154949514
2,1.021708542713568,3.639924520225517,27.301690654893918
2,1.0226130653266332,3.663942568045352,27.481840904732326
2,1.0235175879396985,3.688025826351715,27.6624802736502
2,1.0244221105527638,3.712176202372351,27.843623067038102
2,1.025326633165829,3.736395641355731,28.02528387546562
2,1.0262311557788946,3.7606861278016193,28.20747758391138
2,1.0271356783919598,3.78504968672727,28.390219381260295
2,1.0280402010050251,3.809488384970627,28.573524770078382
2,1.0289447236180904,3.834004332531677,28.757409576673744
2,1.0298492462311557,3.8585996839535075,28.941889961455356
2,1.030753768844221,3.883276639744368,29.1269824295994
2,1.0316582914572865,3.9080374478422715,29.312703842034697
2,1.0325628140703518,3.9328844051236147,29.499071426758285
2,1.033467336683417,3.95781985895749,29.686102790493724
2,1.0343718592964823,3.982846208807204,29.873815930703486
2,1.0352763819095476,4.007965907880799,30.06222924796888
2,1.0361809045226131,4.033181464832327,30.25136155875065
2,1.0370854271356784,4.058495445515634,30.441232108543474
2,1.0379899497487437,4.083910474792692,30.631860585439558
2,1.038894472361809,4.109429238398294,30.823267134115014
2,1.0397989949748743,4.135054484863259,31.015472370255058
2,1.0407035175879398,4.160789027498223,31.208497395433717
2,1.041608040201005,4.186635746440196,31.40236381246426
2,1.0425125628140703,4.21259759076426,31.597093741238226
2,1.0434170854271356,4.238677580662631,31.79270983506974
2,1.044321608040201,4.2648788096936645,31.98923529756449
2,1.0452261306532664,4.291204447103308,32.18669390003201
2,1.0461306532663317,4.317657740221604,32.385109999460965
2,1.047035175879397,4.344242016937138,32.58450855707903
2,1.0479396984924623,4.370960688252088,32.784915157517375
