subject,lambda_theta,sigma_theta_kPa,sigma_z_kPa,Pi_mmHg
3,1.1577650392975556,77.50080500934729,26.780776834884886,87.25018553339056
3,1.1583716481908006,77.97667789392159,26.86626220471505,87.78592187141194
3,1.1589782570840454,78.45873352021863,26.952401628918743,88.32861872245445
3,1.1595848659772905,78.94709933592446,27.039203258595734,88.87841956676
3,1.1601914748705353,79.44190576190508,27.126675351225444,89.43547123176806
3,1.1607980837637801,79.94328626878894,27.2148262722092,89.999923978332
3,1.1614046926570252,80.45137745568215,27.303664496435804,90.57193158933639
3,1.16201130155027,80.96631913108261,27.39319860987149,91.15165146078994
3,1.1626179104435148,81.48825439606034,27.483437311175607,91.73924469546968
3,1.1632245193367599,82.01732972976802,27.57438941334071,92.33487619918849
3,1.1638311282300047,82.55369507735384,27.666063845358927,92.9387147797671
3,1.1644377371232495,83.09750394034924,27.75846965391414,93.5509332487924
3,1.1650443460164945,83.6489134696049,27.851616005101533,94.17170852624447
3,1.1656509549097394,84.20808456084984,27.945512186173033,94.80122174807674
3,1.1662575638029844,84.77518195295804,28.040167607311503,95.43965837684433
3,1.1668641726962292,85.35037432899759,28.135591803431865,96.08720831546485
3,1.167470781589474,85.93383442015298,28.231794436011686,96.74406602421377
3,1.168077390482719,86.52573911260228,28.328785294949718,97.41043064104655
3,1.168683999375964,87.12626955744204,28.42657430045466,98.08650610535172
3,1.1692906082692087,87.73561128375266,28.525171504963442,98.77250128523953
3,1.1698972171624538,88.35395431489829,28.624587095090376,99.46863010847213
3,1.1705038260556986,88.98149328815873,28.724831393606166,100.17511169714469
3,1.1711104349489434,89.61842757780198,28.82591486145022,100.89217050624028
3,1.1717170438421884,90.26496142169296,28.92784809977322,101.62003646616547
3,1.1723236527354333,90.9213040515538,29.030641852013368,102.35894512939711
3,1.1729302616286783,91.58766982698717,29.13430700600523,103.10913782136528
3,1.1735368705219231,92.2642783733746,29.23885459612265,103.87086179569897
3,1.174143479415168,92.95135472377368,29.344295805455392,104.64437039397347
3,1.174750088308413,93.64912946493546,29.450641968021433,105.42992321009629
3,1.1753566972016578,94.35783888756814,29.557904571013744,106.22778625947372
3,1.1759633060949026,95.07772514098272,29.666095257084024,107.03823215311037
3,1.1765699149881477,95.80903639225292,29.775225826662684,107.86154027679096
3,1.1771765238813925,96.55202699002865,29.885308240315744,108.6979969755011
3,1.1777831327746373,97.3069576331547,29.99635462114068,109.54789574325771
3,1.1783897416678824,98.07409554423717,30.10837725720031,110.41153741850961
3,1.1789963505611272,98.85371464831272,30.221388603995187,111.28923038528282
3,1.1796029594543722,99.64609575678895,30.335401286977824,112.18129078026024
3,1.180209568347617,100.45152675680778,30.45042810410545,113.08804270596619
3,1.1808161772408619,101.27030280621504,30.56648202843585,114.00981845026284
3,1.181422786134107,102.1027265343027,30.68357621076409,114.94695871234508
3,1.1820293950273517,102.94910824851075,30.801723982302494,115.89981283544503
4,1.1502881521276698,62.27067420861698,22.127745288174697,64.19997337475894
4,1.1509179287264883,62.51391938160258,22.165994538114507,64.45075488351371
4,1.151547705325307,62.75955318430398,22.204324436556544,64.70399902762784
4,1.1521774819241255,63.00762350627956,22.242735680987728,64.95975518039639
4,1.1528072585229443,63.25817929735166,22.28122897304503,65.21807380822803
4,1.1534370351217629,63.51127059319125,22.319805018548045,65.47900649702227
4,1.1540668117205815,63.76694854156602,22.358464527532384,65.7426059792309
4,1.1546965883194,64.02526542926888,22.397208214282944,66.00892616162069
4,1.1553263649182186,64.28627470974604,22.4360367973675,66.27802215375755
4,1.1559561415170372,64.55003103144473,22.47495099967074,66.54995029723246
4,1.1565859181158558,64.8165902668996,22.513951548428405,66.82476819564907
4,1.1572156947146746,65.08600954257864,22.553039175261844,67.1025347453944
4,1.1578454713134931,65.35834726950952,22.592214616212605,67.38331016721382
4,1.1584752479123117,65.63366317470891,22.63147861177761,67.66715603861444
4,1.1591050245111303,65.9120183334359,22.67083190694452,67.95413532711756
4,1.1597348011099489,66.19347520229313,22.710275251227173,68.24431242438556
4,1.1603645777087674,66.47809765319955,22.74980939870153,68.53775318124703
4,1.160994354307586,66.7659510082591,22.789435108042007,68.83452494364592
4,1.1616241309064048,67.05710207554986,22.829153142557686,69.13469658953944
4,1.1622539075052234,67.35161918586007,22.86896427022932,69.43833856677229
4,1.162883684104042,67.64957223039828,22.908869263746336,69.74552293195511
4,1.1635134607028605,67.95103269950312,22.948868900544127,70.0563233903737
4,1.1641432373016791,68.25607372238309,22.98896396284188,70.37081533695991
4,1.1647730139004977,68.564770107914,23.029155237680406,70.68907589835312
4,1.1654027904993163,68.87719838652464,23.06944351696054,71.01118397608371
4,1.166032567098135,69.19343685320138,23.109829597481728,71.33722029090993
4,1.1666623436969537,69.51356561164303,23.15031428098095,71.66726742834086
4,1.1672921202957722,69.83766661960006,23.190898374171894,72.00140988538037
4,1.1679218968945908,70.16582373542988,23.23158268878464,72.33973411852472
4,1.1685516734934094,70.49812276590436,23.27236804160549,72.68232859305135
4,1.169181450092228,70.83465151530484,23.313255254517134,73.02928383363492
4,1.1698112266910465,71.17549983584163,23.354245154539292,73.38069247632897
4,1.1704410032898653,71.52075967943567,23.395338573869555,73.73664932195186
4,1.171070779888684,71.87052515090109,23.43653634992455,74.09725139091714
4,1.1717005564875025,72.22489256257087,23.477839325381467,74.46259797955153
4,1.172330333086321,72.58396049040408,23.519248348220188,74.83279071794063
4,1.1729601096851396,72.94782983161997,23.560764271765237,75.20793362934847
4,1.1735898862839582,73.31660386390165,23.602387954728542,75.58813319125575
4,1.1742196628827768,73.69038830621537,23.644120261252347,75.97349839806314
4,1.1748494394815956,74.06929138129186,23.68596206095249,76.36414082550868
4,1.1754792160804142,74.45342387981754,23.72791422896198,76.76017469684768
4,1.1761089926792327,74.84289922638689,23.769977645975274,77.1617169508485
4,1.1767387692780513,75.23783354726507,23.81215319829223,77.56888731165454
4,1.17736854587687,75.63834574001497,23.854441777863425,77.98180836056862
4,1.1779983224756885,76.04455754504235,23.896844282334683,78.40060560981475
4,1.178628099074507,76.45659361911609,23.939361615093027,78.82540757833614
4,1.1792578756733259,76.87458161092044,23.981994685312305,79.25634586968829
4,1.1798876522721444,77.2986522386982,24.024744407999528,79.69355525208778
4,1.180517428870963,77.72893937004943,24.06761170404151,80.1371737406833
4,1.1811472054697816,78.1655801039445,24.110597500251963,80.58734268210966
4,1.1817769820686002,78.60871485502048,24.153702729418676,81.04420684139592
4,1.1824067586674187,79.05848744022614,24.196928330351735,81.50791449129485
4,1.1830365352662373,79.51504516788589,24.24027524793139,81.9786175041063
4,1.183666311865056,79.97853892925397,24.28374443315679,82.45647144606795
4,1.1842960884638747,80.449123292632,24.3273368431951,82.94163567438888
4,1.1849258650626933,80.92695660012836,24.371053441430856,83.43427343700675
4,1.1855556416615118,81.41220106713412,24.414895197515825,83.93455197514578
4,1.1861854182603304,81.90502288460007,24.458863087419253,84.44264262876257
4,1.186815194859149,82.40559232419622,24.502958093478647,84.95872094496367
4,1.1874449714579676,82.91408384644058,24.547181204450894,85.48296678948451
4,1.1880747480567861,83.43067621188592,24.59153341556366,86.01556446132096
4,1.188704524655605,83.95555259545655,24.636015728567628,86.55670281060851
4,1.1893343012544235,84.4889007040281,24.6806291517886,87.10657535984507
4,1.189964077853242,85.0309128973509,24.72537470018065,87.66538042856075
4,1.1905938544520607,85.581786312414,24.770253395379413,88.23332126153505
4,1.1912236310508793,86.14172299135512,24.81526626575556,88.81060616066976
4,1.1918534076496978,86.71093001302503,24.860414346469454,89.39744862062948
4,1.1924831842485166,87.2896196283146,24.90569867952545,89.99406746836146
4,1.1931129608473352,87.8780093993584,24.951120313827136,90.60068700661219
4,1.1937427374461538,88.47632234273598,24.996680305233227,91.2175371615652
4,1.1943725140449724,89.08478707678736,25.042379716613127,91.84485363472093
