subject,lambda_theta,sigma_theta_kPa,sigma_z_kPa
2,1.174572864321608,120.53616350276094,20.63005702414695
2,1.1754773869346733,122.87476827091736,20.730411286460097
2,1.1763819095477386,125.2913422466147,20.83179991545854
2,1.1772864321608039,127.78898294141857,20.934240064573615
2,1.1781909547738694,130.37092235149362,21.037749185142484
2,1.1790954773869347,133.04053324031753,21.142345032173964
2,1.18,135.8013357339618,21.248045670235133
3,1.0,22.12798094247856,14.070528270266042
3,1.0009045226130653,22.33781484277344,14.126044214805834
3,1.0018090452261306,22.54783582831771,14.181545601154937
3,1.002713567839196,22.758049781791787,14.237034418294074
3,1.0036180904522614,22.968462663267292,14.292512673443632
3,1.0045226130653266,23.179080512496924,14.3479823924195
3,1.005427135678392,23.38990945125237,14.403445619994839
3,1.0063316582914572,23.600955685712385,14.45890442026788
3,1.0072361809045227,23.812225508902493,14.51436087703597
3,1.008140703517588,24.023725303187607,14.569817094175841
3,1.0090452261306533,24.235461542819937,14.625275196030394
3,1.0099497487437186,24.447440796543034,14.680737327801962
3,1.0108542713567839,24.659669730254468,14.736205655952293
3,1.0117587939698491,24.872155109728546,14.79168236860942
3,1.0126633165829146,25.084903803401115,14.84716967598131
3,1.01356783919598,25.29792278521819,14.902669810776771
3,1.0144723618090452,25.511219137550952,14.958185028633606
3,1.0153768844221105,25.724800054178328,15.013717608553957
3,1.0162814070351758,25.938672843339955,15.06926985334744
3,1.0171859296482413,26.152844930861377,15.124844090081695
3,1.0180904522613066,26.367323863353715,15.180442670540966
3,1.0189949748743719,26.582117311490524,15.236067971692588
3,1.0198994974874371,26.79723307336359,15.291722396161639
3,1.0208040201005024,27.012679077920602,15.347408372713899
3,1.021708542713568,27.22846338848711,15.40312835674729
3,1.0226130653266332,27.444594206375104,15.458884830791945
3,1.0235175879396985,27.661079874581702,15.51468030501918
3,1.0244221105527638,27.877928881579734,15.570517317759379
3,1.025326633165829,28.09514986520375,15.626398436029113
3,1.0262311557788946,28.312751616634294,15.68232625606767
3,1.0271356783919598,28.530743084483134,15.738303403882991
3,1.0280402010050251,28.749133378983537,15.794332535807555
3,1.0289447236180904,28.967931776287593,15.85041633906415
3,1.0298492462311557,29.18714772287491,15.906557532341669
3,1.030753768844221,29.406790840075914,15.962758866381503
3,1.0316582914572865,29.626870928713025,16.01902312457434
3,1.0325628140703518,29.847397973863647,16.07535312356772
3,1.033467336683417,30.068382149749283,16.131751713884825
3,1.0343718592964823,30.289833824753625,16.188221780554215
3,1.0352763819095476,30.51176356657473,16.244766243751272
3,1.0361809045226131,30.734182147514908,16.301388059451153
3,1.0370854271356784,30.957100549912866,16.358090220093803
3,1.0379899497487437,31.180529971722912,16.414875755261125
3,1.038894472361809,31.40448183224514,16.471747732366563
3,1.0397989949748743,31.628967778012118,16.52870925735738
3,1.0407035175879398,31.853999688836687,16.58576347542991
3,1.041608040201005,32.07958968402593,16.642913571757965
3,1.0425125628140703,32.30575012876723,16.70016277223484
3,1.0434170854271356,32.53249364069097,16.757514344229012
3,1.044321608040201,32.75983309661631,16.814971597353892
3,1.0452261306532664,32.98778163948559,16.872537884252004
3,1.0461306532663317,33.216352685493305,16.930216601393646
3,1.047035175879397,33.4455599314166,16.988011189890738
3,1.0479396984924623,33.67541736215274,17.045925136325724
3,1.0488442211055276,33.90593925847117,17.10396197359615
3,1.049748743718593,34.1371402049867,17.16212528177516
3,1.0506532663316583,34.369035098360854,17.22041868898812
3,1.0515577889447236,34.601639155739676,17.278845872305993
3,1.052462311557789,34.83496792343441,17.337410558655527
3,1.0533668341708542,35.069037285854066,17.39611652574669
3,1.0542713567839195,35.30386347469768,17.454967603017877
3,1.055175879396985,35.53946307841497,17.513967672598973
3,1.0560804020100503,35.7758530519439,17.57312067029296
3,1.0569849246231156,36.013050726735,17.6324305865762
3,1.0578894472361808,36.25107382107123,17.691901467617985
3,1.0587939698492461,36.489940450693325,17.75153741631957
3,1.0596984924623116,36.72966913974133,17.811342593373283
3,1.060603015075377,36.97027883202212,17.87132121834203
3,1.0615075376884422,37.21178890261445,17.931477570759654
3,1.0624120603015075,37.45421916982238,17.991815991252626
3,1.0633165829145728,37.69758990748899,18.052340882683467
3,1.0642211055276383,37.94192185768262,18.11305671131635
3,1.0651256281407036,38.18723624376784,18.173968008005485
3,1.0660301507537688,38.43355478387471,18.235079369406552
3,1.0669346733668341,38.68089970477953,18.29639545921205
3,1.0678391959798994,38.92929375621077,18.357921009410465
3,1.0687437185929647,39.17876022559548,18.419660821570478
3,1.0696482412060302,39.429322953260595,18.48161976815027
3,1.0705527638190955,39.6810063481046,18.54380279383248
3,1.0714572864321608,39.933835403756774,18.606214916885783
3,1.072361809045226,40.18783571523936,18.668861230553098
3,1.0732663316582913,40.44303349615109,18.7317469044674
3,1.0741708542713568,40.69945559638978,18.794877186095636
3,1.0750753768844221,40.95712952043243,18.85825740221122
3,1.0759798994974874,41.21608344619307,18.921892960395983
3,1.0768844221105527,41.476346244477305,18.985789350571903
3,1.077788944723618,41.737947499055565,19.04995214656361
3,1.0786934673366835,42.0009175273761,19.114387007692
3,1.0795979899497488,42.26528740194019,19.17909968039987
3,1.080502512562814,42.53108897236372,19.244095999910236
3,1.0814070351758793,42.79835488814825,19.30938189191795
3,1.0823115577889446,43.067118622187465,19.374963374315463
3,1.0832160804020101,43.33741449503505,19.440846558953336
3,1.0841206030150754,43.60927769996066,19.50703765343647
3,1.0850251256281407,43.88274432882319,19.573542962956722
3,1.085929648241206,44.15785139878919,19.640368892162616
3,1.0868341708542713,44.43463687992795,19.707521947067224
3,1.0877386934673368,44.71313972371428,19.775008736994756
3,1.088643216080402,44.993399892471515,19.8428359765669
3,1.0895477386934673,45.27545838979006,19.91101048772996
3,1.0904522613065326,45.55935729195467,19.97953920182313
3,1.091356783919598,45.84513978041949,20.04842916168957
3,1.0922613065326634,46.13285017536745,20.11768752383065
3,1.0931658291457287,46.4225339703943,20.187321560604502
3,1.094070351758794,46.71423786835872,20.25733866247003
3,1.0949748743718593,47.00800981844108,20.32774634027726
3,1.0958793969849245,47.303899054455165,20.39855222760493
3,1.0967839195979898,47.601956134459854,20.469764083146668
3,1.0976884422110553,47.9022329817185,20.54138979314669
3,1.0985929648241206,48.20478292705583,20.61343737388607
3,1.099497487437186,48.50966075266538,20.685914974220893
3,1.1004020100502512,48.81692273742054,20.758830878173377
3,1.1013065326633165,49.12662670374614,20.832193507577035
3,1.102211055276382,49.43883206610924,20.906011424777354
3,1.1031155778894473,49.75359988118966,20.98029333538909
3,1.1040201005025125,50.07099289979429,21.05504809111143
3,1.1049246231155778,50.391075620580594,21.130284692602537
3,1.105829145728643,50.713914345658125,21.206012292414478
