alfa,a1,a2,a3,a4,a5,R2,n_restricciones_activas
2.87,8.24399295982732,2.2055995551902214e-23,8.800592099744145,19.999999999999996,19.999999999999996,0.980714346394366,3
2.88,8.242889062128885,9.902902895908278e-22,9.58462860239648,19.999999999999996,19.999999999999996,0.9805463932476528,3
2.89,8.240470949827452,1.0702939576660378e-18,10.386327303168766,19.999999999999996,19.999999999999996,0.9803618922512569,3
2.9,8.236694971236544,8.544108301112296e-18,11.206063995595404,19.999999999999996,19.999999999999996,0.9801615585869463,3
2.91,8.231516367040307,1.5146129380243427e-28,12.044222222441036,19.999999999999996,19.999999999999996,0.9799460788805302,3
2.92,8.22488924497414,4.979684464207637e-30,12.90119343255837,19.999999999999996,19.999999999999996,0.9797161123028385,3
2.93,8.216766553956395,3.120102652330146e-26,13.777377140885514,19.999999999999996,19.999999999999996,0.9794722916283995,3
2.94,8.207100057659783,1.4251050770020928e-23,14.673181091643785,19.999999999999996,19.999999999999996,0.979215224253466,3
2.95,8.195840307510585,7.962825086173311e-25,15.58902142480092,19.999999999999996,19.999999999999996,0.9789454931749663,3
2.96,8.18293661510383,5.13551492642159e-16,16.52532284586305,19.999999999999908,19.999999999999996,0.9786636579319037,3
2.97,8.16833702402155,7.646120750092281e-17,17.48251879906393,19.999999999999996,19.999999999999996,0.9783702555106576,3
2.98,8.15198828104321,6.01890630947227e-19,18.46105164401454,19.999999999999996,19.999999999999996,0.9780658012155896,3
2.99,8.133835915650904,3.2625439735608958e-12,19.461372555193257,19.99999999998579,19.99999999999983,0.977750789506291,3
3.0,8.301597538507899,1.5786273844304432e-14,19.999999999996046,19.999999999999996,19.999999999999996,0.9774158089413889,4
3.01,8.68524927998112,3.862488353382584e-13,19.999999999999982,19.999999999999996,19.999999999999996,0.9769959754578802,4
3.02,9.075926747139697,2.7525081117555553e-22,19.999999999999996,19.999999999999996,19.999999999999996,0.9764832532606015,4
3.03,9.473759761063464,5.116677544137339e-22,19.999999999999996,19.999999999999996,19.999999999999996,0.9758821433867914,4
3.04,9.03726912187258,1.2560022956958816,19.999999999978257,19.999999999999996,19.999999999999627,0.9752215223348418,3
3.05,8.500021491315373,2.6734492547899342,19.999999999997375,19.999999999999996,19.999999999999034,0.9745389362787688,3
3.06,7.949183619604516,4.122459908988968,19.999999999999996,19.999999999999996,19.999999999999996,0.9738358277802308,3
3.07,7.384449974664329,5.603698811855046,19.999999999999996,19.999999999999996,19.999999999999996,0.973113314537608,3
3.08,6.805508859587533,7.117843600695953,19.999999999999996,19.999999999999996,19.999999999999996,0.9723724669252802,3
3.09,6.212041850061761,8.665585910976919,19.999999999999996,19.999999999999996,19.999999999999996,0.9716143098548233,3
3.1,5.603723765124094,10.247631494206777,19.999999999999996,19.999999999999996,19.999999999999996,0.9708398245645203,3
3.11,4.980222528057641,11.864700501153857,19.999999999999996,19.999999999999996,19.999999999999996,0.9700499503399559,3
3.12,4.341199024092693,13.517527771251762,19.999999999999993,19.999999999999996,19.999999999999996,0.9692455861683531,3
3.13,3.6863069560798922,15.206863126495046,19.999999999999996,19.999999999999996,19.999999999999996,0.9684275923292069,3
3.14,3.0151926964878997,16.933471672291578,19.999999999999996,19.999999999999996,19.999999999999996,0.9675967919236704,3
3.15,2.327495137120565,18.698134103226362,19.999999999999996,19.999999999999996,19.999999999999996,0.9667539723450527,3
3.16,1.95898494126904,19.999999999999996,19.999999999999996,19.999999999999996,19.999999999999996,0.9658974146259183,4
3.17,2.472066749850603,19.999999999999996,19.999999999999996,19.999999999999996,19.999999999999996,0.964983276473795,4
3.18,2.9945684773837113,19.999999999999996,19.999999999999996,19.999999999999996,19.999999999999996,0.9639980925700065,4
3.19,3.5266645646522883,19.999999999999996,19.999999999999996,19.999999999999996,19.999999999999996,0.9629455411488971,4
3.2,4.0685327065017844,19.999999999999996,19.999999999999996,19.999999999999996,19.999999999999996,0.961829149663855,4
